OTU_ID	S1	S2	Taxonomy
3fcc048e6cc7d00bfa35ef3146660ac8d61d1f73_5	1	1	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified
85027158f50c2dc7f3a4151b22e22152769a9147_904	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus
96f25cda2c60cbebf8b09f025cc3bc22708be30d_1	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus
546cda044116a1406f452dae0a8e38653fa2fd33_2	1	1	k__Fungi;p__Ascomycota
848ba6b731cb3356a1076abd9a7bd1cdfb00367a_25	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lophodermium;s__Lophodermium conigenum
49fb283469ca211386a083c090a4e0898b567c79_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unidentified;f__unidentified;g__unidentified;s__Leotiomycetes sp BLD3
eaf14fbe2d9da6d2ff0fc0ebd5bb37084cc5d5a7_33	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phaeomoniella
a84720e1edef36194ba77a686ed18c7bd79e84ce_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus
515869ab5090ad3a985bff8a934cdb577a2c55e4_215	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae
1fedc17120f4bc2d60e1e89481ea5a70c0ae9f56_29	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unidentified;s__Mycosphaerellaceae sp
ff24aab81659c9454e0f990019db121a2f4fc6bd_22	1	1	k__Fungi;p__Ascomycota
eb8153fd0449d9e7ce580390b81c105020e359a4_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lophodermium
d8944eb6d0cf29005ddf2ec970542f0d0b462f5b_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
2fe5125d0211b1b94bcd45c9419a5527c66399dd_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus
116b48e988e830e92e03d55b8467e45f328b2407_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus
b2e16f44397362c5cb8e713a5af59d43b5c30fc1_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__Dothideomycetes sp 11147
d647f818073f7a524f79b48afa8aca6265266d0d_1	1	1	k__Fungi;p__Ascomycota
ddc443bf985555846fa218297794a46568c8e104_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnellula
0a442b10e63398d83409f9adbf97f39a85c36bf4_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
c317bf1f552aecbffbee08792daf81afe095c731_1	1	1	k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured Pezizomycotina
2e7f37f844e519aed12c4e38d081610aa5af3f72_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
7a754ad0dddc5826bcb8f3e30e6d54fe327cd9ae_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus
f81a4f726d9b37ea977df7dda963075a0cae84f3_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
abe549c64c970ac20531a037907acf30d5b2b7dd_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae sedis
873e5258f6d0ad2f1fa4027be14b8b676b0dc5fb_5	1	1	k__Fungi
c605b99a96b38c4c0c882a30bcce45a8be694290_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia tetramera
d9cb9a7c359fd7865f59521f844ae857b53d1446_1	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Ostropales
a5d7b8a6c3278c91e655ca93374466e6c70e954e_18	1	1	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__fungal sp TRN256
a446fa2b887a5c771e7325c6855ef4c9d521b7ec_98	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae sedis;g__Infundichalara;s__Infundichalara sp
d1b5ac4e74d76ac66a50f5919116985bc77d1f76_1	1	1	k__Fungi;p__Ascomycota
38f19d30b078112444f46940b29a0da45c2fa5ff_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Myriangiales;f__Incertae sedis;g__Endosporium;s__Endosporium populi_tremuloidis
6899d48525b13765a32fe5cdf4ce51ed518c8235_1	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
90ee013b705aa359de9c9dfe9a00981fc3710086_1	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;s__Capronia sp 97002a
9afc3c81f96825ccbee399b20f785df14f72da7a_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus
62db79c64899bc673db22c512aee6cbe396a4662_1	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phaeomoniella;s__Phaeomoniella sp
6180c7a56da34c21d4c8e7967c127a659f921a35_12	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
62cd3b47f81270beb2b878b99b94e3f0dc8338af_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae sedis;g__Phaeotheca;s__Phaeotheca sp
eb9d19386279af28ac31a814e59d5bb18cbd35a4_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unidentified;s__Mycosphaerellaceae sp NO428
94acb196fe503dafdd9d1404f3619f78bd8e28e6_1	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Physciaceae;g__Buellia;s__Buellia griseovirens
735dc0230f910e6e0559c2ebaa1d7cdab221b042_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
016aa3bbe4295307bd17e9bc24f0a6ebc466ab70_2	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae sedis;g__Phaeotheca;s__Phaeotheca sp
c11a35303d31ffbc63ef3cbf0ff2c2dd2ba64150_1	1	1	k__Fungi
2166972bd5b70515cd9ee02b7a010ebe553debbc_1	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Agyriales;f__Trapeliaceae;g__Sarea;s__Sarea resinae
bd038095c1c26728e52e8303b096e480eda40a0d_1	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales
299d68096e7a38c8d47d7faeeacb31a792976ef7_1	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;s__Aspergillus sp DY115_21_8_M4
6bd89eef500ae4c0e3fa7f53a3c3f18a5f0ce2b2_4	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales
0528aa72840432345ece641e480a8a23bd0bdf34_207	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae;g__Pseudevernia;s__Pseudevernia furfuracea
